"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"A to Z Building Blocks","AZ","A to Z Building Blocks American Fork on 100 East","901","Private","","","?","Pre - 6","195 North 100 East","AMERICAN FORK","84003","geo:40.38,-111.796","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","Jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks American Fork on 300 East","902","Private","","","?","Pre - 6","153 North 300 East","AMERICAN FORK","84003","geo:40.38,-111.791","atozbuildingblocks.com","","801-754-6704","","","2021","","Coordinator","","Jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks Draper","903","Private","","","?","Pre - 6","978 E Draper Parkway","DRAPER","84020","geo:40.526,-111.864","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","Jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks in Spanish Fork","906","Private","","","?","Pre - K","PO Box 341","AMERICAN FORK","84003","geo:40.11665165957466,-111.655291245235","","","801-789-1234","","","2021","","Administrator","","jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks on Ranches Parkway","904","Private","","","?","Pre - 6","3563 Ranches Parkway","EAGLE MOUNTAIN","84005","geo:40.361,-111.975","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","jody@atozbuildingblocks.com"
"A to Z Building Blocks","AZ","A to Z Building Blocks Orem","905","Private","","","?","Pre - 6","670 West 400 North","OREM","84057","geo:40.305,-111.712","atozbuildingblocks.com","","801-754-6704","","","2021","","Administrator","","Jody@atozbuildingblocks.com"
"ABC Great Beginnings","AC","ABC Great Beginnings - South Ogden","905","Private","","","?","Pre","302 Chimes View Drive","OGDEN","84405","geo:41.19171,-111.97419","","","801-399-4581","","","2023","","Administrator","","rhonda@abcgreatbeginnings.com"
"ABC Great Beginnings","AC","ABC Great Beginnings - West Jordan","903","Private","","","?","Pre - 6","7195 S Redwood Rd","WEST JORDAN","84084","geo:40.62017,-111.93844","abcgreatbeginnings.com","","801-233-0333","801-233-0440","","2022","","Administrator","","deanna@abcgb.net"
"ABC Great Beginnings","AC","ABC Great Beginnings Murray","901","Private","","","?","Pre","6006 South 300 West","MURRAY","84107","geo:40.65744369999,-111.8991204","abcgreatbeginnings.com","","801-747-1016","","","2018","","Administrator","","jenny@abcgreatbeginnings.com"
"ABC Great Beginnings","AC","ABC Great Beginnings Redwood","902","Private","","","?","Pre - K","3672 S Redwood Road","WEST VALLEY CITY","84119","geo:40.692,-111.94","abcgreatbeginnings.com","","801-974-9096","801-974-0366","","2021","","Administrator","","taishja@abcgb.net"
"ABC Great Beginnings","AC","Tilley Time Child Care","904","Private","","","?","Pre - 6","4579 S 1175 W","TAYLORSVILLE","84123","geo:40.67062,-111.92474","","","801-265-2489","801-685-0128","","2022","","Administrator","","rhonda@abcgreatbeginnings.com"
"Academy for Math Engineering & Science","83","Academy for Math Engineering & Science","700","Public","Charter","Title I","?","9 - 12","5715 S 1300 E","SALT LAKE CITY","84121","geo:40.646853,-111.852302","http://www.ames-slc.org/","https://datagateway.schools.utah.gov/Schools/83700","801-278-9460","801-277-3527","State Charter School Board (SCSB)","2003","","Principal","Brett Wilson","bwilson@ames-slc.org"
"Advantage Arts Academy","1M","Advantage Arts Academy","100","Public","Charter","Title I","?","K - 6","6171 W. 11800 S","HERRIMAN","84096","geo:40.53691,-112.03865","","https://datagateway.schools.utah.gov/Schools/1M100","801-878-8622","","State Charter School Board (SCSB)","2020","","Director","Kelly Simonsen","ksimonsen@advantagearts.org"
"Alpine Academy","LV","Alpine Academy","951","Private","","","?","7 - 12","1280 Whispering Horse Dr","ERDA","84074","geo:40.603485,-112.275145","alpineacademy.org","","800-244-1113","435-843-5416","","2007","","Principal","","aalvey@youthvillage.org"
"Alpine District","01","Alpine Online School","299","Public","","","?","K - 8","575 N 100 E","AMERICAN FORK","84003","geo:40.388315,-111.796538","http://alpineonline.alpineschools.org/","https://datagateway.schools.utah.gov/Schools/01299","801-756-8400","801-763-6186","","2006","","Principal","Michelle Lloyd","mlloyd@alpinedistrict.org"
